"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Call notes","hs_call_body","string","The body of the call","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Call direction","hs_call_direction","enumeration","The direction of a call","call","false","Inbound (INBOUND); Outbound (OUTBOUND)","false","true","false","false","false","true","HubSpot","","0%","",""
"Call outcome","hs_call_disposition","enumeration","The outcome of the call","call","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Call duration","hs_call_duration","number","The duration of the call, in milliseconds","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"From number","hs_call_from_number","string","The phone number of the person that initiated the call","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"From Number Name","hs_call_from_number_nickname","string","The name of the phone number that initiated the call","call","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Transcript Available","hs_call_has_transcript","bool","Flag to indicate if the call has an associated transcript","call","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Voicemail Available","hs_call_has_voicemail","enumeration","Flag to indicate if the call has an associated voicemail","call","false","Yes (true); No (false)","true","true","false","false","false","true","HubSpot","","0%","",""
"Recording URL","hs_call_recording_url","string","The URL of the recorded call audio","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Call Source","hs_call_source","enumeration","The source of the call to differentiate VoIP vs Video Conferencing Apps","call","false","VoIP (VOIP) [READ-ONLY]; Zoom (ZOOM) [READ-ONLY]; Integrations Platform (INTEGRATIONS_PLATFORM) [READ-ONLY]; HubSpot Meetings (HUBSPOT_MEETINGS) [READ-ONLY]; In Person Meetings (IN_PERSON_MEETINGS) [READ-ONLY]","false","true","false","false","false","true","HubSpot","","0%","",""
"Call status","hs_call_status","enumeration","The status of the call","call","false","Busy (BUSY); Calling CRM User (CALLING_CRM_USER); Canceled (CANCELED); Completed (COMPLETED); Connecting (CONNECTING); Failed (FAILED); In Progress (IN_PROGRESS); Missed (MISSED); No Answer (NO_ANSWER); Queued (QUEUED); Ringing (RINGING); On Hold (HOLD)","false","true","false","false","false","true","HubSpot","","0%","",""
"Call Title","hs_call_title","string","The title of the call","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"To Number","hs_call_to_number","string","The phone number of the person that was called","call","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"To Number Name","hs_call_to_number_nickname","string","The name of the phone number that was called","call","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Tracked terms","hs_call_transcript_tracked_terms","enumeration","A list of any tracked terms contained in the call transcript","call","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Connected count","hs_connected_count","number","This counter is used to report on the total number of calls that end up connected to a live recipient","call","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Voice Agent Is Most Recent Customer Feedback Positive","hs_voice_agent_is_most_recent_customer_feedback_positive","bool","This property will track the most recent feedback for the Voice Agent and help track its resolution rate.  The value is null if no feedback is given by the customer. The value is true if the customer positively affirms the Voice Agent resolved their issue. The value is false if the customer indicates that the Voice Agent did not resolve their issue.  ","call","false","Yes (true); No (false)","true","false","false","false","false","true","HubSpot","","0%","",""
"Voicemail count","hs_voicemail_count","number","This counter is used to report on the total number of calls that end up with a voicemail","call","false","","true","true","true","false","false","true","HubSpot","","0%","",""
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","callinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","callinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","callinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Call and meeting type","hs_activity_type","enumeration","The activity type of the engagement","engagement","false","Social Media Outreach; Outbound SMS; Cold Call; Door Knock; Discovery Call; Demo - In Person; Demo - Remote; Closing Call","false","true","false","false","false","true","HubSpot","","0%","",""
"Attached file IDs","hs_attachment_ids","enumeration","The IDs of the files that are attached to the engagement","engagement","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"Activity created by","hs_created_by","number","The user who created the engagement","engagement","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"Create date","hs_createdate","datetime","The date that an engagement was created","engagement","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last modified date","hs_lastmodifieddate","datetime","The date any property on this engagement was modified","engagement","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Activity date","hs_timestamp","datetime","The date that an engagement occurred","engagement","false","","false","true","false","false","false","true","HubSpot","Automation platform flow (1)","0%","",""
"Activity assigned to","hubspot_owner_id","enumeration","The user that the activity is assigned to in HubSpot. This can be any HubSpot user or Salesforce integration user, and can be set manually or via Workflows.","engagement","false","","false","true","false","true","false","true","HubSpot","","0%","",""
"HubSpot Team","hubspot_team_id","enumeration","The team of the owner of an engagement.","engagement","false","","true","true","false","true","false","true","HubSpot","Automation platform flow (1)","0%","",""
